time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,Education setting with URN,Total,5,5,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,Total,Total,5,5,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,Total,Setting named on EHC plan,5,5,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Education setting with URN,Total,99,99,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Total,Total,99,99,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Total,Setting named on EHC plan,99,99,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Education setting with UKPRN,Total,12,279,4.301075268
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Education setting with URN,Total,204,279,73.11827957
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,One on one tuition,Total,60,279,21.50537634
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,Total,279,279,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,Mental health need,5,279,1.792114695
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,New arrival without a school place,11,279,3.942652329
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,Other including pregnancy/childcare,10,279,3.58422939
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,Permanent exclusion,6,279,2.150537634
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,Setting named on EHC plan,247,279,88.53046595
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Work based placement,Total,3,279,1.075268817
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Education setting with UKPRN,Total,4,651,0.614439324
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Education setting with URN,Total,563,651,86.48233487
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,One on one tuition,Total,57,651,8.755760368
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Total,Total,651,651,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Total,Setting named on EHC plan,651,651,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Work based placement,Total,27,651,4.147465437
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Education setting with UKPRN,Total,1,178,0.561797752
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Education setting with URN,Total,150,178,84.26966292
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,One on one tuition,Total,22,178,12.35955056
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Other unregistered provider,Total,5,178,2.808988764
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Total,Total,178,178,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Total,Setting named on EHC plan,178,178,100
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,Education setting with URN,Total,54,63,85.71428571
