time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Medical condition (mental health need),Total,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,Education setting with URN,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,16
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,Total,29
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Other,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Other,Total,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Total,Total,Education setting with URN,8
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Total,Total,One on one tuition,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Total,Total,Other unregistered provider,17
